										
61	NCCBANK	12	12.1	11.2	12	11.4	0.6	868	40.0710	3,410,418
62	BPPL	15.1	15.7	15.1	15.1	15.5	-0.4	979	39.3310	2,572,221
63	CONFIDCEM	55.7	57.6	55.3	55.7	57	-1.3	1,270	38.9490	686,621
64	MPETROLEUM	211	215	210.2	211	211.6	-0.6	948	38.6710	181,312
65	ONEBANKPLC	8.4	8.5	8.2	8.4	8.3	0.1	546	38.3410	4,585,035
66	APEXSPINN	135	136.2	133.5	135	134.4	0.6	985	38.0850	282,555
67	MEGHNAINS	26.4	26.5	25	26.4	25	1.4	1,263	37.7980	1,448,334
68	AIL	47.2	48.4	47	47.2	48.1	-0.9	1,473	37.4550	784,694
69	1STPRIMFMF	24	24.9	23.7	24	24.3	-0.3	1,015	37.4330	1,541,814
70	CRYSTALINS	46.4	47.2	45.6	46.4	45.5	0.9	1,299	37.2270	797,826
71	SONALIPAPR	157.4	161.4	157.2	157.4	157.2	0.2	1,570	37.1980	233,973
72	MAGURAPLEX	90.4	93.2	90.1	90.4	90.2	0.2	1,572	36.9120	403,599
73	UNIONINS	36.4	37.7	35.6	36.4	35.9	0.5	1,212	36.5810	996,467
74	MERCANBANK	9.1	9.2	8.6	9.1	8.8	0.3	792	36.4240	4,048,258
75	MEGHNALIFE	52.5	52.7	51.1	52.5	51.1	1.4	1,090	35.3070	678,064
76	RECKITTBEN	3	3,560	3,457	3,497.9	3	-47.9	877	35.2490	10,061
77	PRIMEINSUR	38.3	38.5	35.1	38.3	35.1	3.2	707	34.7880	918,954
78	RUPALILIFE	84.7	86.3	82.2	84.7	82.9	1.8	1,295	33.9100	400,866
79	IBP	13.9	14.4	13.8	13.9	14.2	-0.3	987	33.4570	2,373,701
80	INTRACO	22.1	22.6	21.9	22.1	22.3	-0.2	913	33.2800	1,496,091
81	NATLIFEINS	103.7	105	100	103.7	99.8	3.9	1,312	33.1330	321,070
82	DUTCHBANGL	47.7	48.1	47.4	47.7	47.9	-0.2	766	32.7330	685,906
83	GLOBALINS	29.9	30.4	29.2	29.9	29.1	0.8	1,023	31.8190	1,065,248
84	FUWANGCER	13.6	14	13.6	13.6	13.9	-0.3	836	31.7660	2,312,742
85	MARICO	2	2,758.8	2,675	2,700.7	2	-15.3	500	31.6410	11,740
86	QUASEMIND	39.4	40.7	39.2	39.4	40.1	-0.7	846	31.5260	792,349
87	RDFOOD	24.3	24.8	24.1	24.3	24.7	-0.4	646	31.4860	1,289,126
88	BESTHLDNG	16.6	17.2	16.6	16.6	16.9	-0.3	1,235	30.7990	1,825,479
89	MONNOCERA	89.8	92	89.1	89.8	91.1	-1.3	1,003	30.4630	337,356
90	WALTONHIL	459.7	465.2	455.5	459.7	459.6	0.1	1,153	30.2600	66,035
91	PHARMAID	618.8	627.9	615	618.8	620.7	-1.9	1,064	30.2190	48,750
92	RUPALIBANK	22.8	23.1	22.5	22.8	23	-0.2	934	30.1000	1,324,044
93	MALEKSPIN	23.7	24.1	23.6	23.7	23.8	-0.1	679	29.2110	1,227,473
94	MONOSPOOL	104.1	108.8	103	104.1	105	-0.9	1,633	29.0500	274,575
95	ORIONPHARM	32.7	33.5	32.5	32.7	33.2	-0.5	833	28.6950	872,770
96	SANDHANINS	21.4	21.5	20.3	21.4	20.2	1.2	870	26.7240	1,269,456
97	SINOBANGLA	42.8	44	42.7	42.8	43.6	-0.8	718	26.4180	610,669
98	HAKKANIPUL	67.5	68.3	67	67.5	67	0.5	720	25.0700	370,735
99	MIRAKHTER	27.9	28.5	27.7	27.9	28	-0.1	552	25.0250	890,591
100	OIMEX	25.1	25.9	25	25.1	25.7	-0.6	679	25.0130	987,546
101	BSCPLC	134.1	139.1	133.7	134.1	138.6	-4.5	755	24.8180	183,175
102	FUWANGFOOD	15.7	16	15.6	15.7	15.9	-0.2	800	24.7680	1,569,808
103	CVOPRL	142	145	141.6	142	143.8	-1.8	891	24.4010	170,158
104	PIONEERINS	42.9	43.5	41.7	42.9	41.7	1.2	824	24.3460	569,515
105	DELTALIFE	73.2	74	71.5	73.2	71.2	2	1,118	24.3320	333,117
106	SHAHJABANK	18.6	18.7	17.9	18.6	18	0.6	400	24.2240	1,313,222
107	HEIDELBCEM	254.2	266.9	253	254.2	267.4	-13.2	914	24.0710	93,367
108	GQBALLPEN	227.1	229.7	214.2	227.1	213	14.1	1,132	24.0280	107,087
109	IBNSINA	311	318	310	311	316.2	-5.2	837	23.9860	76,500
110	EPGL	18.1	18.7	18.1	18.1	18.3	-0.2	862	23.8940	1,298,460
111	ACMEPL	14.9	15.1	14.7	14.9	15	-0.1	641	23.8310	1,601,280
112	DSHGARME	121.2	128.6	120.1	121.2	124.4	-3.2	1,288	23.8270	191,958
113	KARNAPHULI	28.2	28.5	27.6	28.1	27.4	0.8	791	23.8050	846,103
114	MONNOAGML	366.7	379.6	366.1	366.7	377.3	-10.6	1,105	23.6330	63,832
115	JHRML	52.2	53.8	51.9	52.2	53.3	-1.1	769	23.4070	443,675
116	SALAMCRST	21.4	22	21.3	21.4	21.8	-0.4	662	23.1510	1,074,764
117	INTECH	21.1	21.5	19.9	21.1	19.7	1.4	944	23.0070	1,089,275
118	NHFIL	26.9	27.7	26.6	26.8	26.8	0.1	652	22.9250	846,295
119	SAPORTL	23.8	24.2	23.6	23.8	23.7	0.1	455	22.8890	961,870
120	KDSALTD	41.6	42.4	41.5	41.6	41.9	-0.3	677	22.7520	544,147
121	GOLDENSON	12.2	12.5	12.2	12.2	12.4	-0.2	668	21.9700	1,787,167
122	STANDARINS	45.1	45.7	44.9	45.1	44.9	0.2	548	21.9250	483,275
123	GPHISPAT	19.3	19.6	19.2	19.3	19.4	-0.1	562	21.9180	1,133,733
124	DSSL	10.3	10.4	10.2	10.3	10.3	0	496	21.8540	2,123,253
125	RAKCERAMIC	23	24.4	22.9	23	23.9	-0.9	890	21.5860	928,210
126	UCB	10.7	10.8	10.6	10.7	10.7	0	357	21.0690	1,971,901
127	KOHINOOR	526.5	535.7	522	526.5	530.8	-4.3	898	21.0470	39,629
128	PTL	46.9	47.4	46	46.9	46.8	0.1	373	20.5600	439,689
129	ICB	50.8	51.6	49.9	50.8	50.3	0.5	831	20.5180	402,949
130	TRUSTBANK	20.4	20.4	20	20.4	20.2	0.2	439	20.4180	1,008,061
131	TITASGAS	21.8	22.4	21.1	21.7	21.4	0.4	772	20.2370	926,537
132	ACIFORMULA	141.3	145.2	138.4	141.3	139.7	1.6	854	20.1680	141,978
133	UNITEDFIN	13.5	14	13.1	13.5	13.4	0.1	629	19.8610	1,471,028
134	SONALIANSH	183.4	188.5	182	183.4	185.2	-1.8	918	19.6990	106,539
135	NPOLYMER	31.1	31.8	30.9	31.1	31.5	-0.4	580	19.6830	628,643
136	SIPLC	49.5	50	48	49.5	48.2	1.3	745	19.5620	398,885
137	SBACBANK	8.4	8.5	8.1	8.4	8.3	0.1	412	19.2610	2,306,196
138	BEACONPHAR	118	122	117.2	118	121	-3	685	19.1150	160,840
139	UPGDCL	136.3	139.7	135.2	136.3	136.8	-0.5	733	19.0340	138,203
140	FEDERALINS	20.4	20.6	20	20.4	19.7	0.7	379	18.6080	915,103
141	AFTABAUTO	36.9	37.9	36.7	36.9	37	-0.1	756	17.6620	474,821
142	SAIHAMCOT	13.6	14	13.5	13.6	13.7	-0.1	560	17.6030	1,286,523
143	SAMORITA	63.9	65.9	63.5	63.9	65.2	-1.3	805	17.2090	267,265
144	SOUTHEASTB	8.3	8.4	8	8.3	8.1	0.2	470	17.1040	2,071,429
145	EXIMBANK	6.3	6.3	6	6.2	6.3	0	322	16.7940	2,723,124
146	CONTININS	25	25.3	24.5	25	24.4	0.6	628	16.7140	668,111
147	SALVOCHEM	23.6	24.3	23.5	23.6	24.2	-0.6	584	16.6480	698,646
148	COPPERTECH	22.7	23.4	22.3	22.7	22.8	-0.1	722	16.5750	727,105
149	ICICL	21.9	22	21.1	21.9	21.2	0.7	670	16.3750	754,094
150	EGEN	21.2	21.6	21	21.2	21.1	0.1	575	15.9750	748,522
151	GRAMEENS2	14.3	14.4	13.8	14.3	13.9	0.4	480	15.7050	1,106,718
152	KTL	11.3	11.5	11.2	11.3	11.1	0.2	575	15.4490	1,360,421
153	BPML	34.8	35.6	34.6	34.8	34.8	0	637	15.3230	436,632
154	PRAGATILIF	112.7	115.9	109.9	112.7	109.9	2.8	799	15.2570	135,689
155	STYLECRAFT	69.1	72.4	68.7	69.1	70.3	-1.2	1,101	14.9680	212,005
156	BBSCABLES	17.1	17.6	17	17	17.4	-0.3	669	14.9050	865,463
157	ANWARGALV	70.5	72.1	70.1	70.5	70.7	-0.2	785	14.8870	210,119
158	PARAMOUNT	41.8	42.2	40.6	41.8	40.5	1.3	633	14.7150	353,797
159	ARGONDENIM	17	17.2	16.5	17	16.6	0.4	301	14.4530	857,432
160	ADNTEL	74.4	75.7	74	74.4	75.2	-0.8	566	14.4050	192,069
